date,product,region,units,revenue,cost
2025-10-02,Widget,North,62,2480,1240
2025-10-02,Gadget,South,40,2000,800
2025-10-03,Widget,South,50,2000,1000
2025-10-03,Gizmo,East,26,1560,780
2025-10-04,Widget,East,67,2680,1340
2025-10-04,Gadget,West,45,2250,900
2025-10-05,Gizmo,North,32,1920,960
2025-10-05,Widget,West,43,1720,860
2025-10-06,Gadget,North,60,3000,1200
2025-10-06,Widget,South,53,2120,1060
2025-10-07,Gizmo,South,28,1680,840
2025-10-07,Gadget,East,55,2750,1100
2025-10-08,Widget,East,65,2600,1300
2025-10-08,Gizmo,West,24,1440,720
2025-10-09,Gadget,South,44,2200,880
2025-10-09,Widget,North,70,2800,1400
2025-10-10,Gizmo,North,34,2040,1020
2025-10-10,Gadget,West,49,2450,980
2025-10-11,Widget,West,46,1840,920
2025-10-11,Gizmo,East,32,1920,960
2025-10-12,Gadget,East,54,2700,1080
2025-10-12,Widget,South,60,2400,1200
2025-10-13,Gizmo,South,26,1560,780
2025-10-13,Widget,North,65,2600,1300
2025-10-14,Gadget,North,63,3150,1260
2025-10-14,Gizmo,West,25,1500,750
2025-10-15,Widget,West,46,1840,920
2025-10-15,Gadget,South,42,2100,840
2025-10-16,Gizmo,East,33,1980,990
2025-10-16,Widget,East,70,2800,1400
