date,product,region,units,revenue,cost
2025-01-02,Widget,North,42,1680,840
2025-01-02,Gadget,South,28,1400,560
2025-01-03,Widget,South,35,1400,700
2025-01-03,Gizmo,East,17,1020,510
2025-01-04,Widget,East,51,2040,1020
2025-01-04,Gadget,West,33,1650,660
2025-01-05,Gizmo,North,22,1320,660
2025-01-05,Widget,West,29,1160,580
2025-01-06,Gadget,North,45,2250,900
2025-01-06,Widget,South,38,1520,760
2025-01-07,Gizmo,South,19,1140,570
2025-01-07,Gadget,East,41,2050,820
2025-01-08,Widget,East,47,1880,940
2025-01-08,Gizmo,West,15,900,450
2025-01-09,Gadget,South,32,1600,640
2025-01-09,Widget,North,53,2120,1060
2025-01-10,Gizmo,North,24,1440,720
2025-01-10,Gadget,West,37,1850,740
2025-01-11,Widget,West,31,1240,620
2025-01-11,Gizmo,East,21,1260,630
2025-01-12,Gadget,East,39,1950,780
2025-01-12,Widget,South,44,1760,880
2025-01-13,Gizmo,South,18,1080,540
2025-01-13,Widget,North,49,1960,980
2025-01-14,Gadget,North,46,2300,920
2025-01-14,Gizmo,West,16,960,480
2025-01-15,Widget,West,34,1360,680
2025-01-15,Gadget,South,30,1500,600
2025-01-16,Gizmo,East,23,1380,690
2025-01-16,Widget,East,50,2000,1000
